;datetime;id;status;activity;merit;post
10;2018-08-28 11:34:30;RNS-SOL;Jr. Member;38;0;"Quote from: saaux on August 28, 2018, 11:30:22 AM
what form do you want to specify? bitcoin is a kind of coin that can be converted into different currencies of his country, so what you want to change here is the ethereum example it is also a coin that is contained in the crypto but it is also used as a wallet. Is that what you want to happen before the bitcoin. Do you have a wallet?
I am talking about its existance in a hard form like a currency note. Can we ever be able to exchange them like notes?"
11;2018-08-28 11:35:55;First77;Member;266;32;"Quote from: RNS-SOL on August 28, 2018, 11:34:30 AM
I am talking about its existance in a hard form like a currency note. Can we ever be able to exchange them like notes?

Bitcoin is digital asset and currency. That is the biggest disadvantage. It does not look good for Bitcoin."
12;2018-08-28 11:38:03;gentlemand;Legendary;1764;1252;"Quote from: RNS-SOL on August 28, 2018, 11:34:30 AM
I am talking about its existance in a hard form like a currency note. Can we ever be able to exchange them like notes?

You'd better hope not because that would be the beginning of the end.

For something like a note to exist, that requires a third party to create it, fund it and claim that it's the real deal. Then everyone else has to choose to believe them. There would be practical no way of telling whether it was compromised, infinitely duplicated or plain fictional.

So that's pretty much everything Bitcoin was invented to stop."
13;2018-08-28 11:45:10;RNS-SOL;Jr. Member;38;0;"Quote from: gentlemand on August 28, 2018, 11:38:03 AM
Quote from: RNS-SOL on August 28, 2018, 11:34:30 AM
I am talking about its existance in a hard form like a currency note. Can we ever be able to exchange them like notes?

You'd better hope not because that would be the beginning of the end.

For something like a note to exist, that requires a third party to create it, fund it and claim that it's the real deal. Then everyone else has to choose to believe them. There would be practical no way of telling whether it was compromised, infinitely duplicated or plain fictional.

So that's pretty much everything Bitcoin was invented to stop.


This is very much understandable and this means bitcoin will always remain what it has always been!"
14;2018-08-28 11:50:59;tonyvo2017;Member;167;10;"Quote from: RNS-SOL on August 28, 2018, 11:24:12 AM
is it possible for bitcoin to change its form. Can it ever be in the form currency notes?
Bitcoin only really exists and proves its effectiveness when in the form of data as it is now. That made Bitcoin a remarkable alternative to paper money. Bitcoin should not become paper money because it is the real end to this electronic currency. It should be further developed in the form of data instead of being converted into paper money."
15;2018-08-28 11:51:14;RodeoX;Legendary;2744;1057;There are many physical bitcoin systems. Most hide the private key inside the coin or note. Of course you introduce all the problems of counterfeiting when you make such a coin.
16;2018-08-28 11:54:33;RNS-SOL;Jr. Member;38;0;"Quote from: RodeoX on August 28, 2018, 11:51:14 AM
There are many physical bitcoin systems. Most hide the private key inside the coin or note. Of course you introduce all the problems of counterfeiting when you make such a coin.


So this is one possibility of bitcoins existing in the form of notes which will hold their keys within."
17;2018-08-28 12:02:31;Pursuer;Legendary;1246;1074;"no, never.
don't confuse physical bitcoins or any other physical form including paper (notes) as form of bitcoin. they are  created by third parties and you are buying something else in the name of bitcoin, it can be safely attached to bitcoin such as an encrypted private key printed on a physical bitcoin but it is still not a safe thing and it is NOT bitcoin."
18;2018-08-28 12:13:29;davis196;Hero Member;966;514;"Creating bitcoin paper money will create the counterfeit problem,like many people here say.
But what about bitcoin gift card codes?I think that gift cards can be a great way to incentivize btc adoption across more online businesses.Many newbies are confused,when it comes to creating crypto wallet accounts,storing private keys and the other more technical/geeky stuff.Gift cards might simplify a lot of things for them."
19;2018-08-28 12:17:26;ralle14;Legendary;1120;1060;It's possible here's an old article about a company called Tangem who've made a fiat version of Bitcoin with different denominations. It's a nice idea but I don't think this is necessary because it would require a lot of resources if most Bitcoin were going to be sealed in a thin device. I doubt that people would prefer to spend their Bitcoin in a physical form since spending it digitally makes it so much easier already.
20;2018-08-28 12:19:43;znation;Jr. Member;70;0;I think no, just people who use it for different purposes.They'd still use it and willingly accept it, just like gold for thousands of years.
21;2018-08-28 12:20:18;pawel7777;Legendary;1694;1064;"Quote from: RNS-SOL on August 28, 2018, 11:24:12 AM
is it possible for bitcoin to change its form. Can it ever be in the form currency notes?

Yes it can. Whoever says otherwise lacks imagination.

All it takes is consensus of all users/miners/nodes to shapeshift from digital ledger balance to physical coins/notes. Just get everyone to agree to redeem their BTC for shiny coins or notes as per ""final"" block, then voluntarily kill-off the network and voila! you changed the form of Bitcoin."
22;2018-08-28 23:34:33;Tubig;Full Member;217;100;"Quote from: RNS-SOL on August 28, 2018, 11:34:30 AM
Quote from: saaux on August 28, 2018, 11:30:22 AM
what form do you want to specify? bitcoin is a kind of coin that can be converted into different currencies of his country, so what you want to change here is the ethereum example it is also a coin that is contained in the crypto but it is also used as a wallet. Is that what you want to happen before the bitcoin. Do you have a wallet?
I am talking about its existance in a hard form like a currency note. Can we ever be able to exchange them like notes?
There will be no difference between fiat and crypto or bitcoin if we have that you call hard form. Bitcoin is capable to transform or convert it into any other currency.  Bitcoin is developed in a softcopy or digital and are used in the web."
23;2018-08-29 04:40:41;hakertajniak;Member;392;10;"Quote from: RNS-SOL on August 28, 2018, 11:24:12 AM
is it possible for bitcoin to change its form. Can it ever be in the form currency notes?

I think that is not a good idea. Bitcoin is a cryptocurrency, it should running digital.
if what you mean is paper money for bitcoin, we will need to have a safe place to store our btc.
The physical form of bitcoin is unnecessary to create."
24;2018-08-29 05:35:32;RNS-SOL;Jr. Member;38;0;"Quote from: Pursuer on August 28, 2018, 12:02:31 PM
no, never.
don't confuse physical bitcoins or any other physical form including paper (notes) as form of bitcoin. they are  created by third parties and you are buying something else in the name of bitcoin, it can be safely attached to bitcoin such as an encrypted private key printed on a physical bitcoin but it is still not a safe thing and it is NOT bitcoin.
So then it means that bitcoins are solely existing in the soft form and will never be physical."
25;2018-08-29 05:46:52;RNS-SOL;Jr. Member;38;0;"Quote from: davis196 on August 28, 2018, 12:13:29 PM
Creating bitcoin paper money will create the counterfeit problem,like many people here say.
But what about bitcoin gift card codes?I think that gift cards can be a great way to incentivize btc adoption across more online businesses.Many newbies are confused,when it comes to creating crypto wallet accounts,storing private keys and the other more technical/geeky stuff.Gift cards might simplify a lot of things for them.
Okay so what are these gift cards? And how do they work? Are they any safer than paper wallets?"
26;2018-08-29 05:47:29;BitcoinNewbie15;Sr. Member;448;287;"Quote from: RNS-SOL on August 29, 2018, 05:35:32 AM
Quote from: Pursuer on August 28, 2018, 12:02:31 PM
no, never.
don't confuse physical bitcoins or any other physical form including paper (notes) as form of bitcoin. they are  created by third parties and you are buying something else in the name of bitcoin, it can be safely attached to bitcoin such as an encrypted private key printed on a physical bitcoin but it is still not a safe thing and it is NOT bitcoin.
So then it means that bitcoins are solely existing in the soft form and will never be physical.

Physical Bitcoins can exist. Take a look at these physical Bitcoins created by the Bitcointalk user Casacious:

https://en.bitcoin.it/wiki/Casascius_physical_bitcoins

Not only do they exist, they are actually a collector's items now! I myself would love to own a legitimate Casacious coin!

As long as the Bitcoin can physically be stored in a (nearly) 100% tamperproof way, Bitcoin can exist as physical money. Casacious coins aren't even the only example of physical Bitcoins, as there are also notes out there (can't seem to remember their names), and Lealana coins as well."
27;2018-08-29 05:56:19;RNS-SOL;Jr. Member;38;0;"Quote from: ralle14 on August 28, 2018, 12:17:26 PM
It's possible here's an old article about a company called Tangem who've made a fiat version of Bitcoin with different denominations. It's a nice idea but I don't think this is necessary because it would require a lot of resources if most Bitcoin were going to be sealed in a thin device. I doubt that people would prefer to spend their Bitcoin in a physical form since spending it digitally makes it so much easier already.
So it would be better for bitcoin to stay in its current form because changing its forms would require investments as well as a third party to control."
28;2018-08-29 06:02:43;RNS-SOL;Jr. Member;38;0;"Quote from: pawel7777 on August 28, 2018, 12:20:18 PM
Quote from: RNS-SOL on August 28, 2018, 11:24:12 AM
is it possible for bitcoin to change its form. Can it ever be in the form currency notes?

Yes it can. Whoever says otherwise lacks imagination.

All it takes is consensus of all users/miners/nodes to shapeshift from digital ledger balance to physical coins/notes. Just get everyone to agree to redeem their BTC for shiny coins or notes as per ""final"" block, then voluntarily kill-off the network and voila! you changed the form of Bitcoin.
Ahan so yes there are possibilities and creativity to generate some other form of bitcoins."
29;2018-08-29 06:11:37;RNS-SOL;Jr. Member;38;0;"Quote from: Tubig on August 28, 2018, 11:34:33 PM
Quote from: RNS-SOL on August 28, 2018, 11:34:30 AM
Quote from: saaux on August 28, 2018, 11:30:22 AM
what form do you want to specify? bitcoin is a kind of coin that can be converted into different currencies of his country, so what you want to change here is the ethereum example it is also a coin that is contained in the crypto but it is also used as a wallet. Is that what you want to happen before the bitcoin. Do you have a wallet?
I am talking about its existance in a hard form like a currency note. Can we ever be able to exchange them like notes?
There will be no difference between fiat and crypto or bitcoin if we have that you call hard form. Bitcoin is capable to transform or convert it into any other currency.  Bitcoin is developed in a softcopy or digital and are used in the web.
Well as per assumptions it has been said that the world will transform into all digital. I guess then would be the time for bitcoin to take over and shine as a fully digital currency."
30;2018-08-29 06:17:04;yitzjoe;Member;336;11;if bitcoin has a form like paper currency or coins it will be far from my estimation because crypto is a digital asset and is decentralized, while fiat and the money we know are issued by a country and that is far different
31;2018-08-29 06:23:41;RNS-SOL;Jr. Member;38;0;"Quote from: yitzjoe on August 29, 2018, 06:17:04 AM
if bitcoin has a form like paper currency or coins it will be far from my estimation because crypto is a digital asset and is decentralized, while fiat and the money we know are issued by a country and that is far different
Then if physical money for bitcoins would exist it would kill the real aim of bitcoins that is decentralization! Because if a physical form of bitcoins evolve it would obviously involve a third party to control its flow."
32;2018-08-29 06:34:33;Caxton10;Jr. Member;108;0;"Quote from: RNS-SOL on August 28, 2018, 11:24:12 AM
is it possible for bitcoin to change its form. Can it ever be in the form currency notes?
It will be difficult to have physical bitcoin currency notes. This is because when you look at bitcoin's value, it has 8 decimal places and this will make it difficult for its use in making purchases."
33;2018-08-29 06:39:46;RNS-SOL;Jr. Member;38;0;"Quote from: Caxton10 on August 29, 2018, 06:34:33 AM
Quote from: RNS-SOL on August 28, 2018, 11:24:12 AM
is it possible for bitcoin to change its form. Can it ever be in the form currency notes?
It will be difficult to have physical bitcoin currency notes. This is because when you look at bitcoin's value, it has 8 decimal places and this will make it difficult for its use in making purchases.
This is a real valid point. This can be an issue if we ever look into changing the form of bitcoins."
34;2018-08-29 06:49:04;TallDragonfly;Newbie;19;0;Bitcoin as it is right now is just a digital currency. The whole idea behind the currency suggests that it should be in digital form. I do not see any reason why anyone who loves that idea would want the currency in physical form. Unless maybe they do not understand the concept. In this case, there won't be much difference between it and the conventional Fiat currencies. Although there are other differences between them, their form is very important. Having Bitcoin in note form would also most likely mean that it would be printed centrally. And this defeats the basic goal of decentralization.
35;2018-08-29 06:51:39;Ezenwanyi1;Jr. Member;56;0;"Personally, i do not think its happening.
Bitcoin is a decentralized virtual currency and that is what makes it what it is.
To change its form would defeat its essense."
36;2018-08-29 06:53:23;RNS-SOL;Jr. Member;38;0;"Quote from: TallDragonfly on August 29, 2018, 06:49:04 AM
Bitcoin as it is right now is just a digital currency. The whole idea behind the currency suggests that it should be in digital form. I do not see any reason why anyone who loves that idea would want the currency in physical form. Unless maybe they do not understand the concept. In this case, there won't be much difference between it and the conventional Fiat currencies. Although there are other differences between them, their form is very important. Having Bitcoin in note form would also most likely mean that it would be printed centrally. And this defeats the basic goal of decentralization.
So to keep it alive we must not get the fish out of its water. Involvement of a 3rd part would mean end of bitcoin."
37;2018-08-29 06:55:52;RNS-SOL;Jr. Member;38;0;"Quote from: Ezenwanyi1 on August 29, 2018, 06:51:39 AM
Personally, i do not think its happening.
Bitcoin is a decentralized virtual currency and that is what makes it what it is.
To change its form would defeat its essense.
So surely, as most are saying, we can not and we should not ever change the form of bitcoin, else it will no longer live."
38;2018-08-29 07:18:10;Herlina;Full Member;322;101;"Quote from: RNS-SOL on August 28, 2018, 11:24:12 AM
is it possible for bitcoin to change its form. Can it ever be in the form currency notes?
It's easy to make that crazy idea come true, but will the community support it? of course not, because many problems will occur if we deal with third parties, they can print it as much as possible, copy private keys before distribution even that can be falsified by other parties"
39;2018-08-29 07:23:03;RNS-SOL;Jr. Member;38;0;"Quote from: Herlina on August 29, 2018, 07:18:10 AM
Quote from: RNS-SOL on August 28, 2018, 11:24:12 AM
is it possible for bitcoin to change its form. Can it ever be in the form currency notes?
It's easy to make that crazy idea come true, but will the community support it? of course not, because many problems will occur if we deal with third parties, they can print it as much as possible, copy private keys before distribution even that can be falsified by other parties
Yes and obviously involving a third party destroys the system and working logic of bitcoins."
40;2018-08-29 08:33:24;Victorik;Jr. Member;70;0;Bitcoin can't change its form. it's a decentralized digital currency having no central issuer. More so, the value is not stable and it's very volatile, should it have a paper form, then the value when about to be use must first be check online and necessary conversions made,this of course is not feasible and won't work.
41;2018-08-29 09:35:41;tuturutmunding;Jr. Member;98;0;if it could occur a physical form of change in bitcoin. I think people prefer the original form or form of bitcoin in the form of a file because it will be easier and more practical when taken or used I think it is one of the characters of bitcoin that many users like
42;2018-08-29 09:49:21;Sebas.tian;Full Member;339;100;Even if bitcoin can indeed change its form, which I doubt it to be possible, it would be like a downgrade in technology. We see have all sorts of currency in paper. If bitcoin were to join in it in their ranks, it would be redundant.
43;2018-08-30 13:46:45;Jyominall;Jr. Member;82;0;I think no isn't. Because bitcoin was developed as virtual means of payment as the credit cards and online banking networks people use everyday. Bitcoin balances are stored in a large distributed network, and they cannot be fraudulently altered by anybody. In other words, Bitcoin users have exclusive control over their funds and bitcoins cannot vanish just because they are virtual.
44;2018-08-31 07:26:45;RNS-SOL;Jr. Member;38;0;"Quote from: Sebas.tian on August 29, 2018, 09:49:21 AM
Even if bitcoin can indeed change its form, which I doubt it to be possible, it would be like a downgrade in technology. We see have all sorts of currency in paper. If bitcoin were to join in it in their ranks, it would be redundant.
So surely bitcoin will not and should never change its form as it will degrade in stead of upgrading."
45;2018-08-31 07:28:27;RNS-SOL;Jr. Member;38;0;"Quote from: Jyominall on August 30, 2018, 01:46:45 PM
I think no isn't. Because bitcoin was developed as virtual means of payment as the credit cards and online banking networks people use everyday. Bitcoin balances are stored in a large distributed network, and they cannot be fraudulently altered by anybody. In other words, Bitcoin users have exclusive control over their funds and bitcoins cannot vanish just because they are virtual.
Yup. If its physical currency is made it will kill the virtual aspect and decentralization of bitcoin which was the actual reason of its birth."
46;2018-08-31 07:36:44;Gontxi;Sr. Member;616;250;"Quote from: RNS-SOL on August 28, 2018, 11:24:12 AM
is it possible for bitcoin to change its form. Can it ever be in the form currency notes?


I do not understand this discussion, if possible you should describe it clearly or in more detail.

but if I judge from my point of view, I don't think that what is meant by that will happen."
47;2018-08-31 08:02:34;nyn8920;Jr. Member;224;0;Well it is quite difficulty to predict BITCOIN as currency note because uniqueness of the coin relay on it's ability to use virtually. There might be a security protocol will implement for increase the security of the funds but its hard to predict it as a printed note!!
48;2018-08-31 18:46:34;TradeParty;Jr. Member;70;0;Every thing changes for the demand of that situation and if the situation demands then bitcoin also bound to change its form.
49;2018-08-31 19:20:52;r32godzilla;Hero Member;785;501;"Quote from: gentlemand on August 28, 2018, 11:38:03 AM
Quote from: RNS-SOL on August 28, 2018, 11:34:30 AM
I am talking about its existance in a hard form like a currency note. Can we ever be able to exchange them like notes?

You'd better hope not because that would be the beginning of the end.

For something like a note to exist, that requires a third party to create it, fund it and claim that it's the real deal. Then everyone else has to choose to believe them. There would be practical no way of telling whether it was compromised, infinitely duplicated or plain fictional.

So that's pretty much everything Bitcoin was invented to stop.


Absolutely.By that way,bitcoin would get centralised and the shit bankers would once again start dominating bitcoin network too and the creation of bitcoin for giving freedom to normal people from the bankers itself would go meaningless."
50;2018-09-01 11:03:57;RNS-SOL;Jr. Member;38;0;"Quote from: Gontxi on August 31, 2018, 07:36:44 AM
Quote from: RNS-SOL on August 28, 2018, 11:24:12 AM
is it possible for bitcoin to change its form. Can it ever be in the form currency notes?


I do not understand this discussion, if possible you should describe it clearly or in more detail.

but if I judge from my point of view, I don't think that what is meant by that will happen.
Yes sure. Actually I wanted to know what are people's thoughts about the idea of existence of Bitcoins as a physical currency similar to fiat currency which can be exchanged and used in the form of physical currency notes and coins. "
51;2018-09-01 11:05:57;RNS-SOL;Jr. Member;38;0;"Quote from: r32godzilla on August 31, 2018, 07:20:52 PM
Quote from: gentlemand on August 28, 2018, 11:38:03 AM
Quote from: RNS-SOL on August 28, 2018, 11:34:30 AM
I am talking about its existance in a hard form like a currency note. Can we ever be able to exchange them like notes?

You'd better hope not because that would be the beginning of the end.

For something like a note to exist, that requires a third party to create it, fund it and claim that it's the real deal. Then everyone else has to choose to believe them. There would be practical no way of telling whether it was compromised, infinitely duplicated or plain fictional.

So that's pretty much everything Bitcoin was invented to stop.


Absolutely.By that way,bitcoin would get centralised and the shit bankers would once again start dominating bitcoin network too and the creation of bitcoin for giving freedom to normal people from the bankers itself would go meaningless.
So a change in the form of bitcoin currency will end up making it meaningless. And yes we do not want banks to interfere."
52;2018-09-01 11:07:37;RNS-SOL;Jr. Member;38;0;"Quote from: TradeParty on August 31, 2018, 06:46:34 PM
Every thing changes for the demand of that situation and if the situation demands then bitcoin also bound to change its form.
But as every one else is saying that if we change its forms it will end up being centralized and if it is centralized then it is meaningless. What would you say on that?"
53;2018-09-01 11:32:44;RNS-SOL;Jr. Member;38;0;"Quote from: Victorik on August 29, 2018, 08:33:24 AM
Bitcoin can't change its form. it's a decentralized digital currency having no central issuer. More so, the value is not stable and it's very volatile, should it have a paper form, then the value when about to be use must first be check online and necessary conversions made,this of course is not feasible and won't work.
A good explanation to why bitcoins can not change its form and what will be its possible drawbacks."
54;2018-09-01 11:44:15;Emmax;Jr. Member;112;0;"Quote from: RNS-SOL on August 28, 2018, 11:24:12 AM
is it possible for bitcoin to change its form. Can it ever be in the form currency notes?

While developers are improving the software, they can't force a change in the Bitcoin. Bitcoins can also be exchanged in physical form such as the Denarium coins, but paying using it as normal paper money is not possible. Transaction can only be done on Blockchain. I think it will only be in this form because Blockchain is most secure bank we have where thief will not break through unless you gave out your security information. Government has no power to change anything about bitcoin and can't even control it. It remain the safest place to save your money."
55;2018-09-01 11:45:33;Gamblet;Member;336;13;I think Bitcoin will keep his form. Whoever owns the keys to his wallet owns Bitcoins. Now there are a lot of financial instruments related to Bitcoin and crypto-currencies but I think that Bitcoin will remain unchanged. Perhaps some technical improvement will be introduced but this does not change the Bitcoin shape .
56;2018-09-01 11:54:19;RNS-SOL;Jr. Member;38;0;"Quote from: Emmax on September 01, 2018, 11:44:15 AM
Quote from: RNS-SOL on August 28, 2018, 11:24:12 AM
is it possible for bitcoin to change its form. Can it ever be in the form currency notes?

While developers are improving the software, they can't force a change in the Bitcoin. Bitcoins can also be exchanged in physical form such as the Denarium coins, but paying using it as normal paper money is not possible. Transaction can only be done on Blockchain. I think it will only be in this form because Blockchain is most secure bank we have where thief will not break through unless you gave out your security information. Government has no power to change anything about bitcoin and can't even control it. It remain the safest place to save your money.
Then can it be a possibility that in the future people change their dollars into bitcoins and eventually all we have left is bitcoins?"
57;2018-09-01 11:55:56;RNS-SOL;Jr. Member;38;0;"Quote from: Gamblet on September 01, 2018, 11:45:33 AM
I think Bitcoin will keep his form. Whoever owns the keys to his wallet owns Bitcoins. Now there are a lot of financial instruments related to Bitcoin and crypto-currencies but I think that Bitcoin will remain unchanged. Perhaps some technical improvement will be introduced but this does not change the Bitcoin shape .
So yes bitcoin will transform technologically' over time but it will not have a change in its form."
58;2018-09-01 12:00:01;tegarp90;Full Member;406;100;"Quote from: RNS-SOL on August 28, 2018, 11:24:12 AM
is it possible for bitcoin to change its form. Can it ever be in the form currency notes?

did u mean into physical form ?
That would be wasting because the speciality of bitcoin is peer to peer decentralized transaction that can made in anywhere and anytime.
That's why bitcoin price is so high"
59;2018-09-01 12:04:27;RNS-SOL;Jr. Member;38;0;"Quote from: tegarp90 on September 01, 2018, 12:00:01 PM
Quote from: RNS-SOL on August 28, 2018, 11:24:12 AM
is it possible for bitcoin to change its form. Can it ever be in the form currency notes?

did u mean into physical form ?
That would be wasting because the speciality of bitcoin is peer to peer decentralized transaction that can made in anywhere and anytime.
That's why bitcoin price is so high
Yes I mean the physical form. And this is right to the extent that if it is converted into a physical form then it can not easily be traded anytime at anyplace and would then need to involve a third party directly or indirectly."
60;2018-09-04 10:41:32;blockchain12333;Newbie;8;0;"Quote from: RNS-SOL on August 28, 2018, 11:24:12 AM
is it possible for bitcoin to change its form. Can it ever be in the form currency notes?
Maybe it can but why would you want that? Doing that will make bitcoins something other than what it was supposed to be. And it won't be deentralized any more."
61;2018-09-04 10:43:38;RNS-SOL;Jr. Member;38;0;"Quote from: blockchain12333 on September 04, 2018, 10:41:32 AM
Quote from: RNS-SOL on August 28, 2018, 11:24:12 AM
is it possible for bitcoin to change its form. Can it ever be in the form currency notes?
Maybe it can but why would you want that? Doing that will make bitcoins something other than what it was supposed to be. And it won't be deentralized any more.
Well you might be right but what if bitcoin's volatility decreases if it changes its form? Don't you think that would be helpful?"
62;2018-09-04 10:47:17;nebiki;Sr. Member;560;250;"Quote from: TradeParty on August 31, 2018, 06:46:34 PM
Every thing changes for the demand of that situation and if the situation demands then bitcoin also bound to change its form.
but if I think bitcoin can't change its form because bitcoin is a digital currency that has no form even though it has high value"
63;2018-09-04 11:01:45;RNS-SOL;Jr. Member;38;0;"Quote from: nebiki on September 04, 2018, 10:47:17 AM
Quote from: TradeParty on August 31, 2018, 06:46:34 PM
Every thing changes for the demand of that situation and if the situation demands then bitcoin also bound to change its form.
but if I think bitcoin can't change its form because bitcoin is a digital currency that has no form even though it has high value
So simply you mean that bit coin has no physical form and will never be in a physical form."
64;2018-09-04 11:48:38;canej;Full Member;240;100;I think that this will not happen. Because bitcoin was conceived as a decentralized coin, which is not subject to and is not regulated by banks and states.
